INSERT INTO typeMrpSales VALUES('FDA15', 'OUT049', 'Dairy', 249.8092);
INSERT INTO typeMrpSales VALUES('FDS55', 'OUT018', 'Fruits and Vegetables', 148.1734);
INSERT INTO typeMrpSales VALUES('NCX53', 'OUT010', 'Health and Hygiene', 140.4154);
INSERT INTO typeMrpSales VALUES('NCP55', 'OUT035', 'Others', 53.8614);
INSERT INTO typeMrpSales VALUES('FDV04', 'OUT046', 'Frozen Foods', 157.5288);
INSERT INTO typeMrpSales VALUES('FDV40', 'OUT046', 'Frozen Foods', 74.1038);
INSERT INTO typeMrpSales VALUES('NCN30', 'OUT018', 'Household', 98.141);
INSERT INTO typeMrpSales VALUES('FDT57', 'OUT017', 'Snack Foods', 237.5248);
INSERT INTO typeMrpSales VALUES('FDI52', 'OUT045', 'Frozen Foods', 121.4072);
INSERT INTO typeMrpSales VALUES('FDT57', 'OUT013', 'Snack Foods', 238.7248);
INSERT INTO typeMrpSales VALUES('FDK33', 'OUT035', 'Snack Foods', 211.556);
INSERT INTO typeMrpSales VALUES('FDQ39', 'OUT035', 'Meat', 190.0846);
INSERT INTO typeMrpSales VALUES('FDR23', 'OUT045', 'Breads', 176.237);
INSERT INTO typeMrpSales VALUES('FDX47', 'OUT019', 'Breads', 156.8288);
INSERT INTO typeMrpSales VALUES('DRP35', 'OUT035', 'Hard Drinks', 126.6336);
INSERT INTO typeMrpSales VALUES('FDU26', 'OUT010', 'Dairy', 120.3782);
INSERT INTO typeMrpSales VALUES('FDR39', 'OUT049', 'Meat', 182.4292);
INSERT INTO typeMrpSales VALUES('FDV48', 'OUT010', 'Baking Goods', 79.0644);
INSERT INTO typeMrpSales VALUES('NCG18', 'OUT018', 'Household', 101.8332);
INSERT INTO typeMrpSales VALUES('NCD42', 'OUT013', 'Health and Hygiene', 38.7506);
INSERT INTO typeMrpSales VALUES('FDP59', 'OUT010', 'Breads', 104.5648);
INSERT INTO typeMrpSales VALUES('FDF34', 'OUT027', 'Snack Foods', 199.9084);
INSERT INTO typeMrpSales VALUES('DRD15', 'OUT035', 'Dairy', 231.9642);
INSERT INTO typeMrpSales VALUES('FDP03', 'OUT046', 'Meat', 121.8388);
INSERT INTO typeMrpSales VALUES('FDO20', 'OUT035', 'Fruits and Vegetables', 252.6382);
INSERT INTO typeMrpSales VALUES('NCY30', 'OUT035', 'Household', 180.0976);
INSERT INTO typeMrpSales VALUES('DRH37', 'OUT013', 'Soft Drinks', 163.3526);
INSERT INTO typeMrpSales VALUES('FDT10', 'OUT010', 'Snack Foods', 58.8562);
INSERT INTO typeMrpSales VALUES('FDF35', 'OUT045', 'Starchy Foods', 105.9938);
INSERT INTO typeMrpSales VALUES('FDG10', 'OUT035', 'Snack Foods', 55.8588);
INSERT INTO typeMrpSales VALUES('FDK03', 'OUT027', 'Dairy', 254.9356);
INSERT INTO typeMrpSales VALUES('FDG20', 'OUT046', 'Fruits and Vegetables', 178.2028);
INSERT INTO typeMrpSales VALUES('NCL07', 'OUT027', 'Others', 39.548);
INSERT INTO typeMrpSales VALUES('DRD49', 'OUT046', 'Soft Drinks', 237.4564);
INSERT INTO typeMrpSales VALUES('NCG55', 'OUT017', 'Household', 115.2176);
INSERT INTO typeMrpSales VALUES('FDR19', 'OUT017', 'Fruits and Vegetables', 147.0102);
INSERT INTO typeMrpSales VALUES('NCM54', 'OUT035', 'Household', 129.1678);
INSERT INTO typeMrpSales VALUES('FDZ44', 'OUT019', 'Fruits and Vegetables', 118.1808);
INSERT INTO typeMrpSales VALUES('FDR28', 'OUT017', 'Frozen Foods', 161.221);
INSERT INTO typeMrpSales VALUES('FDB51', 'OUT018', 'Dairy', 61.4852);
INSERT INTO typeMrpSales VALUES('DRJ59', 'OUT046', 'Hard Drinks', 40.6164);
INSERT INTO typeMrpSales VALUES('FDZ43', 'OUT018', 'Fruits and Vegetables', 242.7512);
INSERT INTO typeMrpSales VALUES('NCC54', 'OUT045', 'Health and Hygiene', 242.1196);
INSERT INTO typeMrpSales VALUES('FDQ11', 'OUT035', 'Breads', 258.8988);
INSERT INTO typeMrpSales VALUES('DRH03', 'OUT018', 'Dairy', 93.512);
INSERT INTO typeMrpSales VALUES('FDX38', 'OUT010', 'Dairy', 46.7376);
INSERT INTO typeMrpSales VALUES('DRH36', 'OUT045', 'Soft Drinks', 73.9696);
INSERT INTO typeMrpSales VALUES('NCB06', 'OUT017', 'Health and Hygiene', 161.492);
INSERT INTO typeMrpSales VALUES('FDR33', 'OUT017', 'Snack Foods', 108.457);
INSERT INTO typeMrpSales VALUES('FDE47', 'OUT013', 'Starchy Foods', 124.0046);
INSERT INTO typeMrpSales VALUES('FDA10', 'OUT027', 'Snack Foods', 121.6072);
INSERT INTO typeMrpSales VALUES('DRI01', 'OUT013', 'Soft Drinks', 171.8422);
INSERT INTO typeMrpSales VALUES('NCJ54', 'OUT046', 'Household', 230.6642);
INSERT INTO typeMrpSales VALUES('FDT14', 'OUT046', 'Dairy', 121.144);
INSERT INTO typeMrpSales VALUES('DRL49', 'OUT017', 'Soft Drinks', 144.3812);
INSERT INTO typeMrpSales VALUES('NCI18', 'OUT045', 'Household', 224.0746);
INSERT INTO typeMrpSales VALUES('FDC38', 'OUT049', 'Canned', 132.2942);
INSERT INTO typeMrpSales VALUES('FDS56', 'OUT013', 'Fruits and Vegetables', 263.9252);
INSERT INTO typeMrpSales VALUES('FDX19', 'OUT049', 'Fruits and Vegetables', 233.5958);
INSERT INTO typeMrpSales VALUES('FDU36', 'OUT027', 'Baking Goods', 100.1384);
INSERT INTO typeMrpSales VALUES('FDO44', 'OUT013', 'Fruits and Vegetables', 109.7228);
INSERT INTO typeMrpSales VALUES('FDG57', 'OUT017', 'Fruits and Vegetables', 49.5034);
INSERT INTO typeMrpSales VALUES('FDV20', 'OUT049', 'Fruits and Vegetables', 125.9678);
INSERT INTO typeMrpSales VALUES('FDE47', 'OUT035', 'Starchy Foods', 126.3046);
INSERT INTO typeMrpSales VALUES('FDU32', 'OUT027', 'Fruits and Vegetables', 120.7414);
INSERT INTO typeMrpSales VALUES('NCB06', 'OUT027', 'Health and Hygiene', 161.492);
INSERT INTO typeMrpSales VALUES('FDV46', 'OUT049', 'Snack Foods', 140.818);
INSERT INTO typeMrpSales VALUES('FDP45', 'OUT027', 'Snack Foods', 252.2724);
INSERT INTO typeMrpSales VALUES('FDK03', 'OUT045', 'Dairy', 254.2356);
INSERT INTO typeMrpSales VALUES('FDX37', 'OUT035', 'Canned', 100.37);
INSERT INTO typeMrpSales VALUES('FDX58', 'OUT013', 'Snack Foods', 182.595);
INSERT INTO typeMrpSales VALUES('FDQ46', 'OUT045', 'Snack Foods', 112.4544);
INSERT INTO typeMrpSales VALUES('FDL13', 'OUT013', 'Breakfast', 232.23);
INSERT INTO typeMrpSales VALUES('NCT30', 'OUT018', 'Household', 47.4718);
INSERT INTO typeMrpSales VALUES('FDP20', 'OUT045', 'Fruits and Vegetables', 125.602);
INSERT INTO typeMrpSales VALUES('FDH40', 'OUT013', 'Frozen Foods', 83.2276);
INSERT INTO typeMrpSales VALUES('FDZ25', 'OUT018', 'Canned', 169.379);
INSERT INTO typeMrpSales VALUES('FDU27', 'OUT027', 'Meat', 46.3376);
INSERT INTO typeMrpSales VALUES('NCQ42', 'OUT013', 'Household', 127.2678);
INSERT INTO typeMrpSales VALUES('FDU31', 'OUT049', 'Fruits and Vegetables', 218.4508);
INSERT INTO typeMrpSales VALUES('FDC35', 'OUT010', 'Starchy Foods', 207.7638);
INSERT INTO typeMrpSales VALUES('FDX43', 'OUT018', 'Fruits and Vegetables', 167.25);
INSERT INTO typeMrpSales VALUES('FDU07', 'OUT045', 'Fruits and Vegetables', 152.8366);
INSERT INTO typeMrpSales VALUES('DRD13', 'OUT013', 'Soft Drinks', 65.4168);
INSERT INTO typeMrpSales VALUES('DRK49', 'OUT017', 'Soft Drinks', 39.3138);
INSERT INTO typeMrpSales VALUES('FDL12', 'OUT019', 'Baking Goods', 59.522);
INSERT INTO typeMrpSales VALUES('FDZ08', 'OUT017', 'Fruits and Vegetables', 80.6592);
INSERT INTO typeMrpSales VALUES('FDA10', 'OUT018', 'Snack Foods', 122.7072);
INSERT INTO typeMrpSales VALUES('FDS20', 'OUT045', 'Fruits and Vegetables', 181.5292);
INSERT INTO typeMrpSales VALUES('FDA07', 'OUT018', 'Fruits and Vegetables', 122.4072);
INSERT INTO typeMrpSales VALUES('FDR08', 'OUT035', 'Fruits and Vegetables', 109.1886);
INSERT INTO typeMrpSales VALUES('FDM44', 'OUT019', 'Fruits and Vegetables', 105.099);
INSERT INTO typeMrpSales VALUES('FDI22', 'OUT010', 'Snack Foods', 210.2612);
INSERT INTO typeMrpSales VALUES('NCM07', 'OUT049', 'Others', 85.5908);
INSERT INTO typeMrpSales VALUES('FDN46', 'OUT017', 'Snack Foods', 103.1332);
INSERT INTO typeMrpSales VALUES('NCW53', 'OUT018', 'Health and Hygiene', 194.0162);
INSERT INTO typeMrpSales VALUES('FDZ51', 'OUT049', 'Meat', 93.3094);
INSERT INTO typeMrpSales VALUES('FDT04', 'OUT018', 'Frozen Foods', 40.8822);
INSERT INTO typeMrpSales VALUES('FDZ48', 'OUT019', 'Baking Goods', 113.5544);
INSERT INTO typeMrpSales VALUES('FDA08', 'OUT046', 'Fruits and Vegetables', 164.7526);
INSERT INTO typeMrpSales VALUES('DRN37', 'OUT018', 'Soft Drinks', 168.0158);
INSERT INTO typeMrpSales VALUES('FDD35', 'OUT017', 'Starchy Foods', 119.144);
INSERT INTO typeMrpSales VALUES('FDZ48', 'OUT046', 'Baking Goods', 112.4544);
INSERT INTO typeMrpSales VALUES('NCN54', 'OUT018', 'Household', 76.2328);
INSERT INTO typeMrpSales VALUES('FDU32', 'OUT013', 'Fruits and Vegetables', 120.5414);
INSERT INTO typeMrpSales VALUES('FDK41', 'OUT027', 'Frozen Foods', 87.2224);
INSERT INTO typeMrpSales VALUES('FDR44', 'OUT018', 'Fruits and Vegetables', 131.2968);
INSERT INTO typeMrpSales VALUES('NCK29', 'OUT027', 'Health and Hygiene', 125.173);
INSERT INTO typeMrpSales VALUES('FDT09', 'OUT045', 'Snack Foods', 129.9284);
INSERT INTO typeMrpSales VALUES('FDR11', 'OUT045', 'Breads', 159.4578);
INSERT INTO typeMrpSales VALUES('FDD57', 'OUT027', 'Fruits and Vegetables', 93.6094);
INSERT INTO typeMrpSales VALUES('FDT10', 'OUT013', 'Snack Foods', 60.9562);
INSERT INTO typeMrpSales VALUES('FDR51', 'OUT018', 'Meat', 148.9708);
INSERT INTO typeMrpSales VALUES('NCK17', 'OUT049', 'Health and Hygiene', 38.448);
INSERT INTO typeMrpSales VALUES('FDY07', 'OUT017', 'Fruits and Vegetables', 46.3402);
INSERT INTO typeMrpSales VALUES('FDT14', 'OUT018', 'Dairy', 121.844);
INSERT INTO typeMrpSales VALUES('FDJ21', 'OUT027', 'Snack Foods', 146.2102);
INSERT INTO typeMrpSales VALUES('NCR42', 'OUT017', 'Household', 33.79);
INSERT INTO typeMrpSales VALUES('DRG37', 'OUT049', 'Soft Drinks', 156.7972);
INSERT INTO typeMrpSales VALUES('FDI24', 'OUT019', 'Baking Goods', 175.037);
INSERT INTO typeMrpSales VALUES('FDJ22', 'OUT035', 'Snack Foods', 193.2504);
INSERT INTO typeMrpSales VALUES('FDT28', 'OUT035', 'Frozen Foods', 149.4708);
INSERT INTO typeMrpSales VALUES('FDH38', 'OUT046', 'Canned', 115.8808);
INSERT INTO typeMrpSales VALUES('FDT43', 'OUT045', 'Fruits and Vegetables', 53.2324);
INSERT INTO typeMrpSales VALUES('FDX04', 'OUT017', 'Frozen Foods', 48.8376);
INSERT INTO typeMrpSales VALUES('FDV46', 'OUT017', 'Snack Foods', 139.818);
INSERT INTO typeMrpSales VALUES('FDP10', 'OUT049', 'Snack Foods', 104.9622);
INSERT INTO typeMrpSales VALUES('NCA53', 'OUT046', 'Health and Hygiene', 47.6034);
INSERT INTO typeMrpSales VALUES('FDL52', 'OUT046', 'Frozen Foods', 37.1506);
INSERT INTO typeMrpSales VALUES('FDQ32', 'OUT049', 'Fruits and Vegetables', 121.9388);
INSERT INTO typeMrpSales VALUES('FDT37', 'OUT017', 'Canned', 256.3014);
INSERT INTO typeMrpSales VALUES('NCO43', 'OUT018', 'Others', 100.5016);
INSERT INTO typeMrpSales VALUES('FDI53', 'OUT017', 'Frozen Foods', 163.0236);
INSERT INTO typeMrpSales VALUES('FDO19', 'OUT010', 'Fruits and Vegetables', 50.1034);
INSERT INTO typeMrpSales VALUES('FDG12', 'OUT019', 'Baking Goods', 121.3098);
INSERT INTO typeMrpSales VALUES('FDG53', 'OUT018', 'Frozen Foods', 140.618);
INSERT INTO typeMrpSales VALUES('FDK36', 'OUT046', 'Baking Goods', 47.6034);
INSERT INTO typeMrpSales VALUES('FDR55', 'OUT046', 'Fruits and Vegetables', 189.5872);
INSERT INTO typeMrpSales VALUES('FDV16', 'OUT017', 'Frozen Foods', 34.5558);
INSERT INTO typeMrpSales VALUES('FDS31', 'OUT027', 'Fruits and Vegetables', 178.4318);
INSERT INTO typeMrpSales VALUES('NCK06', 'OUT013', 'Household', 122.2756);
INSERT INTO typeMrpSales VALUES('FDN03', 'OUT046', 'Meat', 249.6408);
INSERT INTO typeMrpSales VALUES('NCT30', 'OUT019', 'Household', 47.1718);
INSERT INTO typeMrpSales VALUES('FDC50', 'OUT010', 'Canned', 93.3094);
INSERT INTO typeMrpSales VALUES('FDE11', 'OUT035', 'Starchy Foods', 183.5924);
INSERT INTO typeMrpSales VALUES('FDM03', 'OUT035', 'Meat', 106.0938);
INSERT INTO typeMrpSales VALUES('NCP05', 'OUT018', 'Health and Hygiene', 150.3024);
INSERT INTO typeMrpSales VALUES('FDJ41', 'OUT046', 'Frozen Foods', 261.2594);
INSERT INTO typeMrpSales VALUES('FDR47', 'OUT027', 'Breads', 196.7794);
INSERT INTO typeMrpSales VALUES('FDK36', 'OUT017', 'Baking Goods', 50.4034);
INSERT INTO typeMrpSales VALUES('FDQ23', 'OUT017', 'Breads', 103.3332);
INSERT INTO typeMrpSales VALUES('NCK42', 'OUT027', 'Household', 215.9192);
INSERT INTO typeMrpSales VALUES('NCO06', 'OUT010', 'Household', 35.9558);
INSERT INTO typeMrpSales VALUES('FDV24', 'OUT018', 'Baking Goods', 149.905);
INSERT INTO typeMrpSales VALUES('FDK40', 'OUT046', 'Frozen Foods', 262.091);
INSERT INTO typeMrpSales VALUES('FDT23', 'OUT046', 'Breads', 77.5986);
INSERT INTO typeMrpSales VALUES('FDB50', 'OUT018', 'Canned', 77.9986);
INSERT INTO typeMrpSales VALUES('NCF43', 'OUT049', 'Household', 142.147);
INSERT INTO typeMrpSales VALUES('FDU26', 'OUT027', 'Dairy', 119.0782);
INSERT INTO typeMrpSales VALUES('FDC10', 'OUT049', 'Snack Foods', 121.6098);
INSERT INTO typeMrpSales VALUES('FDK51', 'OUT049', 'Dairy', 266.1884);
INSERT INTO typeMrpSales VALUES('FDV09', 'OUT010', 'Snack Foods', 146.6734);
INSERT INTO typeMrpSales VALUES('DRL37', 'OUT049', 'Soft Drinks', 43.677);
INSERT INTO typeMrpSales VALUES('FDQ45', 'OUT010', 'Snack Foods', 182.3608);
INSERT INTO typeMrpSales VALUES('FDO45', 'OUT027', 'Snack Foods', 88.5856);
INSERT INTO typeMrpSales VALUES('FDP27', 'OUT035', 'Meat', 190.853);
INSERT INTO typeMrpSales VALUES('NCE07', 'OUT018', 'Household', 143.1154);
INSERT INTO typeMrpSales VALUES('FDL26', 'OUT027', 'Canned', 155.2972);
INSERT INTO typeMrpSales VALUES('FDL09', 'OUT049', 'Snack Foods', 169.2816);
INSERT INTO typeMrpSales VALUES('NCA17', 'OUT046', 'Health and Hygiene', 148.8392);
INSERT INTO typeMrpSales VALUES('NCL29', 'OUT017', 'Health and Hygiene', 156.4604);
INSERT INTO typeMrpSales VALUES('FDS20', 'OUT017', 'Fruits and Vegetables', 183.9292);
INSERT INTO typeMrpSales VALUES('NCD19', 'OUT049', 'Household', 53.2614);
INSERT INTO typeMrpSales VALUES('FDF05', 'OUT049', 'Frozen Foods', 261.291);
INSERT INTO typeMrpSales VALUES('FDI44', 'OUT017', 'Fruits and Vegetables', 78.4328);
INSERT INTO typeMrpSales VALUES('NCY29', 'OUT045', 'Health and Hygiene', 54.693);
INSERT INTO typeMrpSales VALUES('FDC60', 'OUT010', 'Baking Goods', 87.0514);
INSERT INTO typeMrpSales VALUES('DRL49', 'OUT045', 'Soft Drinks', 140.5812);
INSERT INTO typeMrpSales VALUES('FDT39', 'OUT017', 'Meat', 152.8366);
INSERT INTO typeMrpSales VALUES('FDE50', 'OUT045', 'Canned', 186.4556);
INSERT INTO typeMrpSales VALUES('FDK25', 'OUT027', 'Breakfast', 169.3474);
INSERT INTO typeMrpSales VALUES('DRK13', 'OUT018', 'Soft Drinks', 199.7084);
INSERT INTO typeMrpSales VALUES('DRD24', 'OUT018', 'Soft Drinks', 141.0154);
INSERT INTO typeMrpSales VALUES('FDX60', 'OUT046', 'Baking Goods', 80.996);
INSERT INTO typeMrpSales VALUES('FDT40', 'OUT019', 'Frozen Foods', 128.3678);
INSERT INTO typeMrpSales VALUES('FDJ20', 'OUT045', 'Fruits and Vegetables', 122.4388);
INSERT INTO typeMrpSales VALUES('FDI58', 'OUT045', 'Snack Foods', 91.712);
INSERT INTO typeMrpSales VALUES('FDX04', 'OUT049', 'Frozen Foods', 47.3376);
INSERT INTO typeMrpSales VALUES('FDK55', 'OUT035', 'Meat', 87.2172);
INSERT INTO typeMrpSales VALUES('NCH06', 'OUT017', 'Household', 247.946);
INSERT INTO typeMrpSales VALUES('NCG54', 'OUT045', 'Household', 170.8106);
INSERT INTO typeMrpSales VALUES('FDN46', 'OUT035', 'Snack Foods', 102.6332);
INSERT INTO typeMrpSales VALUES('FDS46', 'OUT017', 'Snack Foods', 118.2782);
INSERT INTO typeMrpSales VALUES('FDM24', 'OUT017', 'Baking Goods', 152.8366);
INSERT INTO typeMrpSales VALUES('NCC07', 'OUT049', 'Household', 104.5964);
INSERT INTO typeMrpSales VALUES('DRG51', 'OUT045', 'Dairy', 164.9526);
INSERT INTO typeMrpSales VALUES('NCS53', 'OUT013', 'Health and Hygiene', 158.3604);
INSERT INTO typeMrpSales VALUES('FDC33', 'OUT046', 'Fruits and Vegetables', 196.4768);
INSERT INTO typeMrpSales VALUES('FDD14', 'OUT013', 'Canned', 183.5266);
INSERT INTO typeMrpSales VALUES('FDJ52', 'OUT049', 'Frozen Foods', 159.8578);
INSERT INTO typeMrpSales VALUES('FDV33', 'OUT045', 'Snack Foods', 258.3304);
INSERT INTO typeMrpSales VALUES('FDY33', 'OUT045', 'Snack Foods', 157.4262);
INSERT INTO typeMrpSales VALUES('FDE28', 'OUT019', 'Frozen Foods', 229.4668);
INSERT INTO typeMrpSales VALUES('FDA57', 'OUT045', 'Snack Foods', 41.048);
INSERT INTO typeMrpSales VALUES('DRC27', 'OUT017', 'Dairy', 243.6802);
INSERT INTO typeMrpSales VALUES('FDA27', 'OUT045', 'Dairy', 256.3672);
INSERT INTO typeMrpSales VALUES('FDO57', 'OUT035', 'Snack Foods', 159.3578);
INSERT INTO typeMrpSales VALUES('FDZ44', 'OUT035', 'Fruits and Vegetables', 115.8808);
INSERT INTO typeMrpSales VALUES('FDA58', 'OUT013', 'Snack Foods', 233.6932);
INSERT INTO typeMrpSales VALUES('DRB01', 'OUT049', 'Soft Drinks', 187.753);
INSERT INTO typeMrpSales VALUES('FDX45', 'OUT018', 'Snack Foods', 156.963);
INSERT INTO typeMrpSales VALUES('FDY12', 'OUT017', 'Baking Goods', 50.0008);
INSERT INTO typeMrpSales VALUES('NCZ29', 'OUT045', 'Health and Hygiene', 127.7362);
INSERT INTO typeMrpSales VALUES('FDF09', 'OUT018', 'Fruits and Vegetables', 37.4848);
INSERT INTO typeMrpSales VALUES('FDR48', 'OUT017', 'Baking Goods', 150.5024);
INSERT INTO typeMrpSales VALUES('NCH29', 'OUT013', 'Health and Hygiene', 95.8726);
INSERT INTO typeMrpSales VALUES('FDN08', 'OUT045', 'Fruits and Vegetables', 117.5466);
INSERT INTO typeMrpSales VALUES('NCN30', 'OUT013', 'Household', 97.441);
INSERT INTO typeMrpSales VALUES('FDS12', 'OUT019', 'Baking Goods', 125.4362);
INSERT INTO typeMrpSales VALUES('FDN58', 'OUT013', 'Snack Foods', 230.9984);
INSERT INTO typeMrpSales VALUES('FDF50', 'OUT045', 'Canned', 197.6768);
INSERT INTO typeMrpSales VALUES('NCR54', 'OUT046', 'Household', 198.211);
INSERT INTO typeMrpSales VALUES('FDQ21', 'OUT046', 'Snack Foods', 120.8756);
INSERT INTO typeMrpSales VALUES('FDA13', 'OUT013', 'Canned', 39.9506);
INSERT INTO typeMrpSales VALUES('FDY47', 'OUT018', 'Breads', 128.931);
INSERT INTO typeMrpSales VALUES('NCF31', 'OUT013', 'Household', 150.2024);
INSERT INTO typeMrpSales VALUES('FDL44', 'OUT027', 'Fruits and Vegetables', 162.7894);
INSERT INTO typeMrpSales VALUES('FDT51', 'OUT019', 'Meat', 110.6544);
INSERT INTO typeMrpSales VALUES('NCF31', 'OUT019', 'Household', 153.1024);
INSERT INTO typeMrpSales VALUES('NCK31', 'OUT046', 'Others', 50.6666);
INSERT INTO typeMrpSales VALUES('DRM47', 'OUT045', 'Hard Drinks', 191.0846);
INSERT INTO typeMrpSales VALUES('FDL40', 'OUT013', 'Frozen Foods', 97.741);
INSERT INTO typeMrpSales VALUES('FDT34', 'OUT010', 'Snack Foods', 107.1964);
INSERT INTO typeMrpSales VALUES('FDP40', 'OUT035', 'Frozen Foods', 112.7544);
INSERT INTO typeMrpSales VALUES('NCJ31', 'OUT017', 'Others', 241.8196);
INSERT INTO typeMrpSales VALUES('FDT50', 'OUT027', 'Dairy', 97.8752);
INSERT INTO typeMrpSales VALUES('FDG21', 'OUT046', 'Seafood', 150.405);
INSERT INTO typeMrpSales VALUES('FDM03', 'OUT018', 'Meat', 108.2938);
INSERT INTO typeMrpSales VALUES('FDO11', 'OUT049', 'Breads', 247.4092);
INSERT INTO typeMrpSales VALUES('FDX26', 'OUT045', 'Dairy', 181.4292);
INSERT INTO typeMrpSales VALUES('FDF39', 'OUT018', 'Dairy', 261.591);
INSERT INTO typeMrpSales VALUES('NCR53', 'OUT010', 'Health and Hygiene', 226.5404);
INSERT INTO typeMrpSales VALUES('FDL57', 'OUT035', 'Snack Foods', 257.9304);
INSERT INTO typeMrpSales VALUES('FDO44', 'OUT045', 'Fruits and Vegetables', 110.0228);
INSERT INTO typeMrpSales VALUES('NCY41', 'OUT035', 'Health and Hygiene', 34.3532);
INSERT INTO typeMrpSales VALUES('FDL08', 'OUT046', 'Fruits and Vegetables', 246.7144);
INSERT INTO typeMrpSales VALUES('NCV30', 'OUT046', 'Household', 64.851);
INSERT INTO typeMrpSales VALUES('FDL45', 'OUT027', 'Snack Foods', 126.2704);
INSERT INTO typeMrpSales VALUES('FDK09', 'OUT017', 'Snack Foods', 227.2352);
INSERT INTO typeMrpSales VALUES('FDQ58', 'OUT049', 'Snack Foods', 153.434);
INSERT INTO typeMrpSales VALUES('FDA28', 'OUT018', 'Frozen Foods', 127.0362);
INSERT INTO typeMrpSales VALUES('FDA02', 'OUT019', 'Dairy', 143.1786);
INSERT INTO typeMrpSales VALUES('NCC54', 'OUT013', 'Health and Hygiene', 240.4196);
INSERT INTO typeMrpSales VALUES('FDA55', 'OUT018', 'Fruits and Vegetables', 225.4088);
INSERT INTO typeMrpSales VALUES('NCJ43', 'OUT010', 'Household', 173.1396);
INSERT INTO typeMrpSales VALUES('NCB19', 'OUT019', 'Household', 86.3882);
INSERT INTO typeMrpSales VALUES('FDA19', 'OUT046', 'Fruits and Vegetables', 128.2994);
INSERT INTO typeMrpSales VALUES('FDD35', 'OUT013', 'Starchy Foods', 119.844);
INSERT INTO typeMrpSales VALUES('FDK08', 'OUT018', 'Fruits and Vegetables', 100.1016);
INSERT INTO typeMrpSales VALUES('FDN27', 'OUT027', 'Meat', 116.9808);
INSERT INTO typeMrpSales VALUES('NCC19', 'OUT027', 'Household', 192.982);
INSERT INTO typeMrpSales VALUES('FDL16', 'OUT049', 'Frozen Foods', 47.306);
INSERT INTO typeMrpSales VALUES('NCL54', 'OUT027', 'Household', 176.9054);
INSERT INTO typeMrpSales VALUES('FDR33', 'OUT049', 'Snack Foods', 108.057);
INSERT INTO typeMrpSales VALUES('FDD52', 'OUT035', 'Dairy', 108.557);
INSERT INTO typeMrpSales VALUES('FDV33', 'OUT049', 'Snack Foods', 259.2304);
INSERT INTO typeMrpSales VALUES('FDF21', 'OUT035', 'Fruits and Vegetables', 191.153);
INSERT INTO typeMrpSales VALUES('FDM56', 'OUT018', 'Fruits and Vegetables', 109.1912);
INSERT INTO typeMrpSales VALUES('FDB12', 'OUT035', 'Baking Goods', 103.2648);
INSERT INTO typeMrpSales VALUES('FDI48', 'OUT035', 'Baking Goods', 51.2666);
INSERT INTO typeMrpSales VALUES('FDH09', 'OUT049', 'Seafood', 51.8982);
INSERT INTO typeMrpSales VALUES('FDQ36', 'OUT046', 'Baking Goods', 38.3848);
INSERT INTO typeMrpSales VALUES('FDY16', 'OUT013', 'Frozen Foods', 184.8266);
INSERT INTO typeMrpSales VALUES('NCM43', 'OUT027', 'Others', 164.321);
INSERT INTO typeMrpSales VALUES('FDF59', 'OUT018', 'Starchy Foods', 124.902);
INSERT INTO typeMrpSales VALUES('NCR38', 'OUT035', 'Household', 253.4724);
INSERT INTO typeMrpSales VALUES('FDY13', 'OUT035', 'Canned', 78.067);
INSERT INTO typeMrpSales VALUES('FDC40', 'OUT035', 'Dairy', 76.1986);
INSERT INTO typeMrpSales VALUES('FDT11', 'OUT017', 'Breads', 189.4556);
INSERT INTO typeMrpSales VALUES('FDT59', 'OUT018', 'Breads', 230.2668);
INSERT INTO typeMrpSales VALUES('NCU54', 'OUT046', 'Household', 208.427);
INSERT INTO typeMrpSales VALUES('FDG34', 'OUT010', 'Snack Foods', 106.7254);
INSERT INTO typeMrpSales VALUES('FDQ36', 'OUT017', 'Baking Goods', 39.2848);
INSERT INTO typeMrpSales VALUES('DRZ11', 'OUT049', 'Soft Drinks', 122.0388);
INSERT INTO typeMrpSales VALUES('DRH23', 'OUT019', 'Hard Drinks', 55.7614);
INSERT INTO typeMrpSales VALUES('FDT55', 'OUT017', 'Fruits and Vegetables', 157.0946);
INSERT INTO typeMrpSales VALUES('NCV53', 'OUT013', 'Health and Hygiene', 241.288);
INSERT INTO typeMrpSales VALUES('FDQ33', 'OUT027', 'Snack Foods', 151.6708);
INSERT INTO typeMrpSales VALUES('NCJ54', 'OUT013', 'Household', 230.8642);
INSERT INTO typeMrpSales VALUES('FDY16', 'OUT019', 'Frozen Foods', 186.2266);
INSERT INTO typeMrpSales VALUES('NCN07', 'OUT046', 'Others', 129.9284);
INSERT INTO typeMrpSales VALUES('FDO01', 'OUT018', 'Breakfast', 129.7994);
INSERT INTO typeMrpSales VALUES('FDP32', 'OUT017', 'Fruits and Vegetables', 126.8678);
INSERT INTO typeMrpSales VALUES('NCN07', 'OUT018', 'Others', 130.9284);
INSERT INTO typeMrpSales VALUES('DRN47', 'OUT027', 'Hard Drinks', 180.766);
INSERT INTO typeMrpSales VALUES('NCM18', 'OUT045', 'Household', 61.1194);
INSERT INTO typeMrpSales VALUES('FDD40', 'OUT027', 'Dairy', 193.6162);
INSERT INTO typeMrpSales VALUES('FDW47', 'OUT046', 'Breads', 122.8414);
INSERT INTO typeMrpSales VALUES('FDI45', 'OUT049', 'Fruits and Vegetables', 175.6054);
